"REGIONNAME","SERVICEID","SERVICELONGNAME","SERVICETYPENAME","SUPPLIERID","SUPPLIERNAME","MEALPLANNAME","OPTIONID","OPTIONNAME","IS_DEFAULT","EXTRAID","EXTRANAME","OCCUPANCYTYPEID","OCCUPANCYTYPENAME","CHARGINGPOLICYID","CHARGINGPOLICYNAME","SEASONTYPEID","SEASONTYPENAME","SEASONSTARTDATE","SEASONENDDATE","ORGANISATIONSUPPLIERCONTRACTID","ORGANISATIONSUPPLIERCONTRACTNAME","CONTRACTDURATIONID","CONTRACTDURATIONNAME","CONTRACTDURATIONSTARTDATE","CONTRACTDURATIONENDDATE","CURRENCYISOCODE","WEEKDAYPRICES_EXISTS","PRICEDAYMONDAY","PRICEDAYTUESDAY","PRICEDAYWEDNESDAY","PRICEDAYTHURSDAY","PRICEDAYFRIDAY","PRICEDAYSATURDAY","PRICEDAYSUNDAY","BUYPRICE","MARGIN","SELLING",
"Alleppey","1293","Marari Beach Resort","Accommodation","41","CGH Earth Experience Hotels","Breakfast","","","","2529","Extra bed 2","","","10","*Per Room Per Night","6","Season 01","Jan 11 2015 12:00:00:000AM","Jan 31 2015 12:00:00:000AM","25185","Marari Beach Resort (1 Oct 14 - 31 Oct 15)","25317","Marari Beach Resort (1 Oct 14 - 31 Oct 15)","Oct  1 2014 12:00:00:000AM","Oct 31 2015 12:00:00:000AM","INR","NO","1","1","1","1","1","1","1","2475","29.0017","3486",
"Alleppey","1293","Marari Beach Resort","Accommodation","41","CGH Earth Experience Hotels","Breakfast","","","","2529","Extra bed 2","","","10","*Per Room Per Night","6","Season 01","Mar  1 2015 12:00:00:000AM","Apr 15 2015 12:00:00:000AM","25185","Marari Beach Resort (1 Oct 14 - 31 Oct 15)","25317","Marari Beach Resort (1 Oct 14 - 31 Oct 15)","Oct  1 2014 12:00:00:000AM","Oct 31 2015 12:00:00:000AM","INR","NO","1","1","1","1","1","1","1","2475","29.0017","3486",
"Alleppey","1293","Marari Beach Resort","Accommodation","41","CGH Earth Experience Hotels","Breakfast","","","","2529","Extra bed 2","","","10","*Per Room Per Night","6","Season 01","Oct  1 2016 12:00:00:000AM","Oct 31 2016 12:00:00:000AM","25186","Pro-Marari Beach Resort (1 May 16 - 31 Oct 16)","25318","Pro-Marari Beach Resort (1 May 16 - 31 Oct 16)","Nov  1 2015 12:00:00:000AM","Oct 31 2016 12:00:00:000AM","INR","NO","1","1","1","1","1","1","1","2641","34.0079","4002",
"Alleppey","1293","Marari Beach Resort","Accommodation","41","CGH Earth Experience Hotels","Breakfast","","","","2529","Extra bed 2","","","10","*Per Room Per Night","7","Season 02","Dec 21 2014 12:00:00:000AM","Jan 10 2015 12:00:00:000AM","25185","Marari Beach Resort (1 Oct 14 - 31 Oct 15)","25317","Marari Beach Resort (1 Oct 14 - 31 Oct 15)","Oct  1 2014 12:00:00:000AM","Oct 31 2015 12:00:00:000AM","INR","NO","1","1","1","1","1","1","1","2475","29.0017","3486",
"Alleppey","1293","Marari Beach Resort","Accommodation","41","CGH Earth Experience Hotels","Breakfast","","","","2529","Extra bed 2","","","10","*Per Room Per Night","7","Season 02","Feb  1 2015 12:00:00:000AM","Feb 28 2015 12:00:00:000AM","25185","Marari Beach Resort (1 Oct 14 - 31 Oct 15)","25317","Marari Beach Resort (1 Oct 14 - 31 Oct 15)","Oct  1 2014 12:00:00:000AM","Oct 31 2015 12:00:00:000AM","INR","NO","1","1","1","1","1","1","1","2475","29.0017","3486",
"Alleppey","1293","Marari Beach Resort","Accommodation","41","CGH Earth Experience Hotels","Breakfast","","","","2529","Extra bed 2","","","10","*Per Room Per Night","8","Season 03","Apr 16 2015 12:00:00:000AM","Oct 31 2015 12:00:00:000AM","25185","Marari Beach Resort (1 Oct 14 - 31 Oct 15)","25317","Marari Beach Resort (1 Oct 14 - 31 Oct 15)","Oct  1 2014 12:00:00:000AM","Oct 31 2015 12:00:00:000AM","INR","NO","1","1","1","1","1","1","1","1500","34.0079","2273",
"Alleppey","1293","Marari Beach Resort","Accommodation","41","CGH Earth Experience Hotels","Breakfast","","","","2529","Extra bed 2","","","10","*Per Room Per Night","8","Season 03","May  1 2016 12:00:00:000AM","Sep 30 2016 12:00:00:000AM","25186","Pro-Marari Beach Resort (1 May 16 - 31 Oct 16)","25318","Pro-Marari Beach Resort (1 May 16 - 31 Oct 16)","Nov  1 2015 12:00:00:000AM","Oct 31 2016 12:00:00:000AM","INR","NO","1","1","1","1","1","1","1","1600","34.0206","2425",
"Alleppey","1293","Marari Beach Resort","Accommodation","41","CGH Earth Experience Hotels","Breakfast","3356","Garden Villa (Single)","NO","","","1","Single","10","*Per Room Per Night","6","Season 01","Oct  1 2014 12:00:00:000AM","Dec 20 2014 12:00:00:000AM","25185","Marari Beach Resort (1 Oct 14 - 31 Oct 15)","25317","Marari Beach Resort (1 Oct 14 - 31 Oct 15)","Oct  1 2014 12:00:00:000AM","Oct 31 2015 12:00:00:000AM","INR","NO","1","1","1","1","1","1","1","16090","29","22662",
"Alleppey","1293","Marari Beach Resort","Accommodation","41","CGH Earth Experience Hotels","Breakfast","3356","Garden Villa (Single)","NO","","","1","Single","10","*Per Room Per Night","6","Season 01","Jan 11 2015 12:00:00:000AM","Jan 31 2015 12:00:00:000AM","25185","Marari Beach Resort (1 Oct 14 - 31 Oct 15)","25317","Marari Beach Resort (1 Oct 14 - 31 Oct 15)","Oct  1 2014 12:00:00:000AM","Oct 31 2015 12:00:00:000AM","INR","NO","1","1","1","1","1","1","1","16090","29","22662",
"Alleppey","1293","Marari Beach Resort","Accommodation","41","CGH Earth Experience Hotels","Breakfast","3356","Garden Villa (Single)","NO","","","1","Single","10","*Per Room Per Night","6","Season 01","Mar  1 2015 12:00:00:000AM","Apr 15 2015 12:00:00:000AM","25185","Marari Beach Resort (1 Oct 14 - 31 Oct 15)","25317","Marari Beach Resort (1 Oct 14 - 31 Oct 15)","Oct  1 2014 12:00:00:000AM","Oct 31 2015 12:00:00:000AM","INR","NO","1","1","1","1","1","1","1","16090","29","22662",
"Alleppey","1293","Marari Beach Resort","Accommodation","41","CGH Earth Experience Hotels","Breakfast","3356","Garden Villa (Single)","NO","","","1","Single","10","*Per Room Per Night","6","Season 01","Nov  1 2015 12:00:00:000AM","Dec 20 2015 12:00:00:000AM","30904","*Marari Beach Resort (1 Nov 15 - 30 Apr 16)","31069","Marari Beach Resort (1 Nov 15 - 30 Apr 16)","Nov  1 2015 12:00:00:000AM","Apr 30 2016 12:00:00:000AM","INR","NO","1","1","1","1","1","1","1","10725","29.0017","15106",
"Alleppey","1293","Marari Beach Resort","Accommodation","41","CGH Earth Experience Hotels","Breakfast","3356","Garden Villa (Single)","NO","","","1","Single","10","*Per Room Per Night","6","Season 01","Jan 11 2016 12:00:00:000AM","Jan 31 2016 12:00:00:000AM","30904","*Marari Beach Resort (1 Nov 15 - 30 Apr 16)","31069","Marari Beach Resort (1 Nov 15 - 30 Apr 16)","Nov  1 2015 12:00:00:000AM","Apr 30 2016 12:00:00:000AM","INR","NO","1","1","1","1","1","1","1","10725","29.0017","15106",
"Alleppey","1293","Marari Beach Resort","Accommodation","41","CGH Earth Experience Hotels","Breakfast","3356","Garden Villa (Single)","NO","","","1","Single","10","*Per Room Per Night","6","Season 01","Mar  1 2016 12:00:00:000AM","Mar 31 2016 12:00:00:000AM","30904","*Marari Beach Resort (1 Nov 15 - 30 Apr 16)","31069","Marari Beach Resort (1 Nov 15 - 30 Apr 16)","Nov  1 2015 12:00:00:000AM","Apr 30 2016 12:00:00:000AM","INR","NO","1","1","1","1","1","1","1","10725","29.0017","15106",
"Alleppey","1293","Marari Beach Resort","Accommodation","41","CGH Earth Experience Hotels","Breakfast","3356","Garden Villa (Single)","NO","","","1","Single","10","*Per Room Per Night","6","Season 01","Oct  1 2016 12:00:00:000AM","Oct 31 2016 12:00:00:000AM","25186","Pro-Marari Beach Resort (1 May 16 - 31 Oct 16)","25318","Pro-Marari Beach Resort (1 May 16 - 31 Oct 16)","Nov  1 2015 12:00:00:000AM","Oct 31 2016 12:00:00:000AM","INR","NO","1","1","1","1","1","1","1","17168","34.0022","26013",
"Alleppey","1293","Marari Beach Resort","Accommodation","41","CGH Earth Experience Hotels","Breakfast","3356","Garden Villa (Single)","NO","","","1","Single","10","*Per Room Per Night","6","Season 01","Nov  1 2016 12:00:00:000AM","Dec 20 2016 12:00:00:000AM","32526","*Pro-Marari Beach Resort (1 Nov 2016 - 30 Apr 2017)","32709","Pro-Marari Beach Resort (1 Nov 2016 - 30 Apr 2017)","Nov  1 2016 12:00:00:000AM","Apr 30 2017 12:00:00:000AM","INR","NO","1","1","1","1","1","1","1","16701","29.0014","23523",
"Alleppey","1293","Marari Beach Resort","Accommodation","41","CGH Earth Experience Hotels","Breakfast","3356","Garden Villa (Single)","NO","","","1","Single","10","*Per Room Per Night","6","Season 01","Jan 11 2017 12:00:00:000AM","Jan 31 2017 12:00:00:000AM","32526","*Pro-Marari Beach Resort (1 Nov 2016 - 30 Apr 2017)","32709","Pro-Marari Beach Resort (1 Nov 2016 - 30 Apr 2017)","Nov  1 2016 12:00:00:000AM","Apr 30 2017 12:00:00:000AM","INR","NO","1","1","1","1","1","1","1","16701","29.0014","23523",
"Alleppey","1293","Marari Beach Resort","Accommodation","41","CGH Earth Experience Hotels","Breakfast","3356","Garden Villa (Single)","NO","","","1","Single","10","*Per Room Per Night","6","Season 01","Mar  1 2017 12:00:00:000AM","Apr 30 2017 12:00:00:000AM","32526","*Pro-Marari Beach Resort (1 Nov 2016 - 30 Apr 2017)","32709","Pro-Marari Beach Resort (1 Nov 2016 - 30 Apr 2017)","Nov  1 2016 12:00:00:000AM","Apr 30 2017 12:00:00:000AM","INR","NO","1","1","1","1","1","1","1","16701","29.0014","23523",
"Alleppey","1293","Marari Beach Resort","Accommodation","41","CGH Earth Experience Hotels","Breakfast","3356","Garden Villa (Single)","NO","","","1","Single","10","*Per Room Per Night","7","Season 02","Dec 21 2014 12:00:00:000AM","Jan 10 2015 12:00:00:000AM","25185","Marari Beach Resort (1 Oct 14 - 31 Oct 15)","25317","Marari Beach Resort (1 Oct 14 - 31 Oct 15)","Oct  1 2014 12:00:00:000AM","Oct 31 2015 12:00:00:000AM","INR","NO","1","1","1","1","1","1","1","17740","29.0002","24986",
"Alleppey","1293","Marari Beach Resort","Accommodation","41","CGH Earth Experience Hotels","Breakfast","3356","Garden Villa (Single)","NO","","","1","Single","10","*Per Room Per Night","7","Season 02","Feb  1 2015 12:00:00:000AM","Feb 28 2015 12:00:00:000AM","25185","Marari Beach Resort (1 Oct 14 - 31 Oct 15)","25317","Marari Beach Resort (1 Oct 14 - 31 Oct 15)","Oct  1 2014 12:00:00:000AM","Oct 31 2015 12:00:00:000AM","INR","NO","1","1","1","1","1","1","1","17740","29.0002","24986",
"Alleppey","1293","Marari Beach Resort","Accommodation","41","CGH Earth Experience Hotels","Breakfast","3356","Garden Villa (Single)","NO","","","1","Single","10","*Per Room Per Night","7","Season 02","Dec 21 2015 12:00:00:000AM","Jan 10 2016 12:00:00:000AM","30904","*Marari Beach Resort (1 Nov 15 - 30 Apr 16)","31069","Marari Beach Resort (1 Nov 15 - 30 Apr 16)","Nov  1 2015 12:00:00:000AM","Apr 30 2016 12:00:00:000AM","INR","NO","1","1","1","1","1","1","1","17740","34.0005","26879",
"Alleppey","1293","Marari Beach Resort","Accommodation","41","CGH Earth Experience Hotels","Breakfast","3356","Garden Villa (Single)","NO","","","1","Single","10","*Per Room Per Night","7","Season 02","Feb  1 2016 12:00:00:000AM","Feb 29 2016 12:00:00:000AM","30904","*Marari Beach Resort (1 Nov 15 - 30 Apr 16)","31069","Marari Beach Resort (1 Nov 15 - 30 Apr 16)","Nov  1 2015 12:00:00:000AM","Apr 30 2016 12:00:00:000AM","INR","NO","1","1","1","1","1","1","1","17740","34.0005","26879",
"Alleppey","1293","Marari Beach Resort","Accommodation","41","CGH Earth Experience Hotels","Breakfast","3356","Garden Villa (Single)","NO","","","1","Single","10","*Per Room Per Night","7","Season 02","Dec 21 2016 12:00:00:000AM","Jan 10 2017 12:00:00:000AM","32526","*Pro-Marari Beach Resort (1 Nov 2016 - 30 Apr 2017)","32709","Pro-Marari Beach Resort (1 Nov 2016 - 30 Apr 2017)","Nov  1 2016 12:00:00:000AM","Apr 30 2017 12:00:00:000AM","INR","NO","1","1","1","1","1","1","1","18412","28.9989","25932",
"Alleppey","1293","Marari Beach Resort","Accommodation","41","CGH Earth Experience Hotels","Breakfast","3356","Garden Villa (Single)","NO","","","1","Single","10","*Per Room Per Night","7","Season 02","Feb  1 2017 12:00:00:000AM","Feb 28 2017 12:00:00:000AM","32526","*Pro-Marari Beach Resort (1 Nov 2016 - 30 Apr 2017)","32709","Pro-Marari Beach Resort (1 Nov 2016 - 30 Apr 2017)","Nov  1 2016 12:00:00:000AM","Apr 30 2017 12:00:00:000AM","INR","NO","1","1","1","1","1","1","1","18412","28.9989","25932",
"Alleppey","1293","Marari Beach Resort","Accommodation","41","CGH Earth Experience Hotels","Breakfast","3356","Garden Villa (Single)","NO","","","1","Single","10","*Per Room Per Night","8","Season 03","Apr 16 2015 12:00:00:000AM","Oct 31 2015 12:00:00:000AM","25185","Marari Beach Resort (1 Oct 14 - 31 Oct 15)","25317","Marari Beach Resort (1 Oct 14 - 31 Oct 15)","Oct  1 2014 12:00:00:000AM","Oct 31 2015 12:00:00:000AM","INR","NO","1","1","1","1","1","1","1","7125","34.0033","10796",
"Alleppey","1293","Marari Beach Resort","Accommodation","41","CGH Earth Experience Hotels","Breakfast","3356","Garden Villa (Single)","NO","","","1","Single","10","*Per Room Per Night","8","Season 03","Apr  1 2016 12:00:00:000AM","Apr 30 2016 12:00:00:000AM","30904","*Marari Beach Resort (1 Nov 15 - 30 Apr 16)","31069","Marari Beach Resort (1 Nov 15 - 30 Apr 16)","Nov  1 2015 12:00:00:000AM","Apr 30 2016 12:00:00:000AM","INR","NO","1","1","1","1","1","1","1","10725","29.0017","15106",
"Alleppey","1293","Marari Beach Resort","Accommodation","41","CGH Earth Experience Hotels","Breakfast","3356","Garden Villa (Single)","NO","","","1","Single","10","*Per Room Per Night","8","Season 03","May  1 2016 12:00:00:000AM","Sep 30 2016 12:00:00:000AM","25186","Pro-Marari Beach Resort (1 May 16 - 31 Oct 16)","25318","Pro-Marari Beach Resort (1 May 16 - 31 Oct 16)","Nov  1 2015 12:00:00:000AM","Oct 31 2016 12:00:00:000AM","INR","NO","1","1","1","1","1","1","1","7603","34.0017","11520",
"Alleppey","1293","Marari Beach Resort","Accommodation","41","CGH Earth Experience Hotels","Breakfast","3357","Garden Villa (Double)","YES","","","2","Twin","10","*Per Room Per Night","6","Season 01","Oct  1 2014 12:00:00:000AM","Dec 20 2014 12:00:00:000AM","25185","Marari Beach Resort (1 Oct 14 - 31 Oct 15)","25317","Marari Beach Resort (1 Oct 14 - 31 Oct 15)","Oct  1 2014 12:00:00:000AM","Oct 31 2015 12:00:00:000AM","INR","NO","1","1","1","1","1","1","1","16090","29","22662",
"Alleppey","1293","Marari Beach Resort","Accommodation","41","CGH Earth Experience Hotels","Breakfast","3357","Garden Villa (Double)","YES","","","2","Twin","10","*Per Room Per Night","6","Season 01","Jan 11 2015 12:00:00:000AM","Jan 31 2015 12:00:00:000AM","25185","Marari Beach Resort (1 Oct 14 - 31 Oct 15)","25317","Marari Beach Resort (1 Oct 14 - 31 Oct 15)","Oct  1 2014 12:00:00:000AM","Oct 31 2015 12:00:00:000AM","INR","NO","1","1","1","1","1","1","1","16090","29","22662",
"Alleppey","1293","Marari Beach Resort","Accommodation","41","CGH Earth Experience Hotels","Breakfast","3357","Garden Villa (Double)","YES","","","2","Twin","10","*Per Room Per Night","6","Season 01","Mar  1 2015 12:00:00:000AM","Apr 15 2015 12:00:00:000AM","25185","Marari Beach Resort (1 Oct 14 - 31 Oct 15)","25317","Marari Beach Resort (1 Oct 14 - 31 Oct 15)","Oct  1 2014 12:00:00:000AM","Oct 31 2015 12:00:00:000AM","INR","NO","1","1","1","1","1","1","1","16090","29","22662",
"Alleppey","1293","Marari Beach Resort","Accommodation","41","CGH Earth Experience Hotels","Breakfast","3357","Garden Villa (Double)","YES","","","2","Twin","10","*Per Room Per Night","6","Season 01","Nov  1 2015 12:00:00:000AM","Dec 20 2015 12:00:00:000AM","30904","*Marari Beach Resort (1 Nov 15 - 30 Apr 16)","31069","Marari Beach Resort (1 Nov 15 - 30 Apr 16)","Nov  1 2015 12:00:00:000AM","Apr 30 2016 12:00:00:000AM","INR","NO","1","1","1","1","1","1","1","10725","29.0017","15106",
"Alleppey","1293","Marari Beach Resort","Accommodation","41","CGH Earth Experience Hotels","Breakfast","3357","Garden Villa (Double)","YES","","","2","Twin","10","*Per Room Per Night","6","Season 01","Jan 11 2016 12:00:00:000AM","Jan 31 2016 12:00:00:000AM","30904","*Marari Beach Resort (1 Nov 15 - 30 Apr 16)","31069","Marari Beach Resort (1 Nov 15 - 30 Apr 16)","Nov  1 2015 12:00:00:000AM","Apr 30 2016 12:00:00:000AM","INR","NO","1","1","1","1","1","1","1","10725","29.0017","15106",
"Alleppey","1293","Marari Beach Resort","Accommodation","41","CGH Earth Experience Hotels","Breakfast","3357","Garden Villa (Double)","YES","","","2","Twin","10","*Per Room Per Night","6","Season 01","Mar  1 2016 12:00:00:000AM","Mar 31 2016 12:00:00:000AM","30904","*Marari Beach Resort (1 Nov 15 - 30 Apr 16)","31069","Marari Beach Resort (1 Nov 15 - 30 Apr 16)","Nov  1 2015 12:00:00:000AM","Apr 30 2016 12:00:00:000AM","INR","NO","1","1","1","1","1","1","1","10725","29.0017","15106",
"Alleppey","1293","Marari Beach Resort","Accommodation","41","CGH Earth Experience Hotels","Breakfast","3357","Garden Villa (Double)","YES","","","2","Twin","10","*Per Room Per Night","6","Season 01","Oct  1 2016 12:00:00:000AM","Oct 31 2016 12:00:00:000AM","25186","Pro-Marari Beach Resort (1 May 16 - 31 Oct 16)","25318","Pro-Marari Beach Resort (1 May 16 - 31 Oct 16)","Nov  1 2015 12:00:00:000AM","Oct 31 2016 12:00:00:000AM","INR","NO","1","1","1","1","1","1","1","17168","34.0022","26013",
"Alleppey","1293","Marari Beach Resort","Accommodation","41","CGH Earth Experience Hotels","Breakfast","3357","Garden Villa (Double)","YES","","","2","Twin","10","*Per Room Per Night","6","Season 01","Nov  1 2016 12:00:00:000AM","Dec 20 2016 12:00:00:000AM","32526","*Pro-Marari Beach Resort (1 Nov 2016 - 30 Apr 2017)","32709","Pro-Marari Beach Resort (1 Nov 2016 - 30 Apr 2017)","Nov  1 2016 12:00:00:000AM","Apr 30 2017 12:00:00:000AM","INR","NO","1","1","1","1","1","1","1","16701","29.0014","23523",
"Alleppey","1293","Marari Beach Resort","Accommodation","41","CGH Earth Experience Hotels","Breakfast","3357","Garden Villa (Double)","YES","","","2","Twin","10","*Per Room Per Night","6","Season 01","Jan 11 2017 12:00:00:000AM","Jan 31 2017 12:00:00:000AM","32526","*Pro-Marari Beach Resort (1 Nov 2016 - 30 Apr 2017)","32709","Pro-Marari Beach Resort (1 Nov 2016 - 30 Apr 2017)","Nov  1 2016 12:00:00:000AM","Apr 30 2017 12:00:00:000AM","INR","NO","1","1","1","1","1","1","1","16701","29.0014","23523",
"Alleppey","1293","Marari Beach Resort","Accommodation","41","CGH Earth Experience Hotels","Breakfast","3357","Garden Villa (Double)","YES","","","2","Twin","10","*Per Room Per Night","6","Season 01","Mar  1 2017 12:00:00:000AM","Apr 30 2017 12:00:00:000AM","32526","*Pro-Marari Beach Resort (1 Nov 2016 - 30 Apr 2017)","32709","Pro-Marari Beach Resort (1 Nov 2016 - 30 Apr 2017)","Nov  1 2016 12:00:00:000AM","Apr 30 2017 12:00:00:000AM","INR","NO","1","1","1","1","1","1","1","16701","29.0014","23523",
"Alleppey","1293","Marari Beach Resort","Accommodation","41","CGH Earth Experience Hotels","Breakfast","3357","Garden Villa (Double)","YES","","","2","Twin","10","*Per Room Per Night","7","Season 02","Dec 21 2014 12:00:00:000AM","Jan 10 2015 12:00:00:000AM","25185","Marari Beach Resort (1 Oct 14 - 31 Oct 15)","25317","Marari Beach Resort (1 Oct 14 - 31 Oct 15)","Oct  1 2014 12:00:00:000AM","Oct 31 2015 12:00:00:000AM","INR","NO","1","1","1","1","1","1","1","17740","29.0002","24986",
"Alleppey","1293","Marari Beach Resort","Accommodation","41","CGH Earth Experience Hotels","Breakfast","3357","Garden Villa (Double)","YES","","","2","Twin","10","*Per Room Per Night","7","Season 02","Feb  1 2015 12:00:00:000AM","Feb 28 2015 12:00:00:000AM","25185","Marari Beach Resort (1 Oct 14 - 31 Oct 15)","25317","Marari Beach Resort (1 Oct 14 - 31 Oct 15)","Oct  1 2014 12:00:00:000AM","Oct 31 2015 12:00:00:000AM","INR","NO","1","1","1","1","1","1","1","17740","29.0002","24986",
"Alleppey","1293","Marari Beach Resort","Accommodation","41","CGH Earth Experience Hotels","Breakfast","3357","Garden Villa (Double)","YES","","","2","Twin","10","*Per Room Per Night","7","Season 02","Dec 21 2015 12:00:00:000AM","Jan 10 2016 12:00:00:000AM","30904","*Marari Beach Resort (1 Nov 15 - 30 Apr 16)","31069","Marari Beach Resort (1 Nov 15 - 30 Apr 16)","Nov  1 2015 12:00:00:000AM","Apr 30 2016 12:00:00:000AM","INR","NO","1","1","1","1","1","1","1","17740","34.0005","26879",
"Alleppey","1293","Marari Beach Resort","Accommodation","41","CGH Earth Experience Hotels","Breakfast","3357","Garden Villa (Double)","YES","","","2","Twin","10","*Per Room Per Night","7","Season 02","Feb  1 2016 12:00:00:000AM","Feb 29 2016 12:00:00:000AM","30904","*Marari Beach Resort (1 Nov 15 - 30 Apr 16)","31069","Marari Beach Resort (1 Nov 15 - 30 Apr 16)","Nov  1 2015 12:00:00:000AM","Apr 30 2016 12:00:00:000AM","INR","NO","1","1","1","1","1","1","1","17740","34.0005","26879",
"Alleppey","1293","Marari Beach Resort","Accommodation","41","CGH Earth Experience Hotels","Breakfast","3357","Garden Villa (Double)","YES","","","2","Twin","10","*Per Room Per Night","7","Season 02","Dec 21 2016 12:00:00:000AM","Jan 10 2017 12:00:00:000AM","32526","*Pro-Marari Beach Resort (1 Nov 2016 - 30 Apr 2017)","32709","Pro-Marari Beach Resort (1 Nov 2016 - 30 Apr 2017)","Nov  1 2016 12:00:00:000AM","Apr 30 2017 12:00:00:000AM","INR","NO","1","1","1","1","1","1","1","18412","28.9989","25932",
"Alleppey","1293","Marari Beach Resort","Accommodation","41","CGH Earth Experience Hotels","Breakfast","3357","Garden Villa (Double)","YES","","","2","Twin","10","*Per Room Per Night","7","Season 02","Feb  1 2017 12:00:00:000AM","Feb 28 2017 12:00:00:000AM","32526","*Pro-Marari Beach Resort (1 Nov 2016 - 30 Apr 2017)","32709","Pro-Marari Beach Resort (1 Nov 2016 - 30 Apr 2017)","Nov  1 2016 12:00:00:000AM","Apr 30 2017 12:00:00:000AM","INR","NO","1","1","1","1","1","1","1","18412","28.9989","25932",
"Alleppey","1293","Marari Beach Resort","Accommodation","41","CGH Earth Experience Hotels","Breakfast","3357","Garden Villa (Double)","YES","","","2","Twin","10","*Per Room Per Night","8","Season 03","Apr 16 2015 12:00:00:000AM","Oct 31 2015 12:00:00:000AM","25185","Marari Beach Resort (1 Oct 14 - 31 Oct 15)","25317","Marari Beach Resort (1 Oct 14 - 31 Oct 15)","Oct  1 2014 12:00:00:000AM","Oct 31 2015 12:00:00:000AM","INR","NO","1","1","1","1","1","1","1","7125","34.0033","10796",
"Alleppey","1293","Marari Beach Resort","Accommodation","41","CGH Earth Experience Hotels","Breakfast","3357","Garden Villa (Double)","YES","","","2","Twin","10","*Per Room Per Night","8","Season 03","Apr  1 2016 12:00:00:000AM","Apr 30 2016 12:00:00:000AM","30904","*Marari Beach Resort (1 Nov 15 - 30 Apr 16)","31069","Marari Beach Resort (1 Nov 15 - 30 Apr 16)","Nov  1 2015 12:00:00:000AM","Apr 30 2016 12:00:00:000AM","INR","NO","1","1","1","1","1","1","1","10725","29.0017","15106",
"Alleppey","1293","Marari Beach Resort","Accommodation","41","CGH Earth Experience Hotels","Breakfast","3357","Garden Villa (Double)","YES","","","2","Twin","10","*Per Room Per Night","8","Season 03","May  1 2016 12:00:00:000AM","Sep 30 2016 12:00:00:000AM","25186","Pro-Marari Beach Resort (1 May 16 - 31 Oct 16)","25318","Pro-Marari Beach Resort (1 May 16 - 31 Oct 16)","Nov  1 2015 12:00:00:000AM","Oct 31 2016 12:00:00:000AM","INR","NO","1","1","1","1","1","1","1","7603","34.0017","11520",
"Alleppey","1293","Marari Beach Resort","Accommodation","41","CGH Earth Experience Hotels","Breakfast","3357","Garden Villa (Double)","YES","","","3","Double","10","*Per Room Per Night","6","Season 01","Oct  1 2014 12:00:00:000AM","Dec 20 2014 12:00:00:000AM","25185","Marari Beach Resort (1 Oct 14 - 31 Oct 15)","25317","Marari Beach Resort (1 Oct 14 - 31 Oct 15)","Oct  1 2014 12:00:00:000AM","Oct 31 2015 12:00:00:000AM","INR","NO","1","1","1","1","1","1","1","16090","29","22662",
"Alleppey","1293","Marari Beach Resort","Accommodation","41","CGH Earth Experience Hotels","Breakfast","3357","Garden Villa (Double)","YES","","","3","Double","10","*Per Room Per Night","6","Season 01","Jan 11 2015 12:00:00:000AM","Jan 31 2015 12:00:00:000AM","25185","Marari Beach Resort (1 Oct 14 - 31 Oct 15)","25317","Marari Beach Resort (1 Oct 14 - 31 Oct 15)","Oct  1 2014 12:00:00:000AM","Oct 31 2015 12:00:00:000AM","INR","NO","1","1","1","1","1","1","1","16090","29","22662",
"Alleppey","1293","Marari Beach Resort","Accommodation","41","CGH Earth Experience Hotels","Breakfast","3357","Garden Villa (Double)","YES","","","3","Double","10","*Per Room Per Night","6","Season 01","Mar  1 2015 12:00:00:000AM","Apr 15 2015 12:00:00:000AM","25185","Marari Beach Resort (1 Oct 14 - 31 Oct 15)","25317","Marari Beach Resort (1 Oct 14 - 31 Oct 15)","Oct  1 2014 12:00:00:000AM","Oct 31 2015 12:00:00:000AM","INR","NO","1","1","1","1","1","1","1","16090","29","22662",
"Alleppey","1293","Marari Beach Resort","Accommodation","41","CGH Earth Experience Hotels","Breakfast","3357","Garden Villa (Double)","YES","","","3","Double","10","*Per Room Per Night","6","Season 01","Nov  1 2015 12:00:00:000AM","Dec 20 2015 12:00:00:000AM","30904","*Marari Beach Resort (1 Nov 15 - 30 Apr 16)","31069","Marari Beach Resort (1 Nov 15 - 30 Apr 16)","Nov  1 2015 12:00:00:000AM","Apr 30 2016 12:00:00:000AM","INR","NO","1","1","1","1","1","1","1","10725","29.0017","15106",
"Alleppey","1293","Marari Beach Resort","Accommodation","41","CGH Earth Experience Hotels","Breakfast","3357","Garden Villa (Double)","YES","","","3","Double","10","*Per Room Per Night","6","Season 01","Jan 11 2016 12:00:00:000AM","Jan 31 2016 12:00:00:000AM","30904","*Marari Beach Resort (1 Nov 15 - 30 Apr 16)","31069","Marari Beach Resort (1 Nov 15 - 30 Apr 16)","Nov  1 2015 12:00:00:000AM","Apr 30 2016 12:00:00:000AM","INR","NO","1","1","1","1","1","1","1","10725","29.0017","15106",
"Alleppey","1293","Marari Beach Resort","Accommodation","41","CGH Earth Experience Hotels","Breakfast","3357","Garden Villa (Double)","YES","","","3","Double","10","*Per Room Per Night","6","Season 01","Mar  1 2016 12:00:00:000AM","Mar 31 2016 12:00:00:000AM","30904","*Marari Beach Resort (1 Nov 15 - 30 Apr 16)","31069","Marari Beach Resort (1 Nov 15 - 30 Apr 16)","Nov  1 2015 12:00:00:000AM","Apr 30 2016 12:00:00:000AM","INR","NO","1","1","1","1","1","1","1","10725","29.0017","15106",
